epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
46,0.77382,0.68758,1.14876,0.42254,0.41447,0.91161,0.89352,0.89089,0.94633,0.86572,0.0077725,0.0077725,0.0077725
47,0.77077,0.68498,1.14907,0.42998,0.40603,0.91511,0.92069,0.88062,0.94558,0.86709,0.007723,0.007723,0.007723
48,0.77275,0.69034,1.14287,0.42952,0.40657,0.90906,0.92083,0.89417,0.95016,0.86533,0.0076735,0.0076735,0.0076735
49,0.76542,0.67556,1.13958,0.42014,0.41021,0.90699,0.91992,0.88621,0.94547,0.86661,0.007624,0.007624,0.007624
50,0.76576,0.67411,1.14337,0.44425,0.39916,0.9164,0.94408,0.88986,0.9505,0.86466,0.0075745,0.0075745,0.0075745
51,0.76877,0.67943,1.1428,0.43524,0.39357,0.909,0.94551,0.8819,0.94943,0.86429,0.007525,0.007525,0.007525
52,0.7614,0.65859,1.13638,0.42096,0.40088,0.90485,0.89935,0.89297,0.94152,0.86397,0.0074755,0.0074755,0.0074755
53,0.75719,0.65946,1.13458,0.41952,0.39685,0.90729,0.93524,0.87989,0.94841,0.87284,0.007426,0.007426,0.007426
54,0.76162,0.66174,1.1351,0.44336,0.39739,0.91192,0.91894,0.88579,0.9484,0.86024,0.0073765,0.0073765,0.0073765
55,0.75316,0.65784,1.13366,0.43322,0.39707,0.91355,0.94859,0.85839,0.9484,0.86374,0.007327,0.007327,0.007327
56,0.75413,0.65535,1.13578,0.43075,0.37204,0.91042,0.92747,0.89085,0.9522,0.87397,0.0072775,0.0072775,0.0072775
57,0.75608,0.65243,1.13487,0.42417,0.38191,0.91492,0.9287,0.88888,0.95293,0.8726,0.007228,0.007228,0.007228
58,0.75054,0.64439,1.13134,0.41978,0.39192,0.91539,0.91845,0.88255,0.94828,0.87349,0.0071785,0.0071785,0.0071785
59,0.74303,0.63896,1.12918,0.41925,0.38443,0.90774,0.93842,0.88117,0.95304,0.87208,0.007129,0.007129,0.007129
60,0.73237,0.63547,1.12273,0.41028,0.37751,0.90209,0.92469,0.90403,0.95469,0.87948,0.0070795,0.0070795,0.0070795
61,0.73934,0.62642,1.11999,0.41447,0.37419,0.90818,0.92754,0.89224,0.95621,0.88059,0.00703,0.00703,0.00703
62,0.73928,0.6288,1.12448,0.40717,0.37669,0.90565,0.92114,0.90249,0.95438,0.88339,0.0069805,0.0069805,0.0069805
63,0.73495,0.63057,1.12186,0.41345,0.37839,0.90711,0.93385,0.88894,0.95217,0.87899,0.006931,0.006931,0.006931
64,0.73992,0.63763,1.12694,0.41162,0.37636,0.90651,0.91178,0.89035,0.95391,0.88065,0.0068815,0.0068815,0.0068815
65,0.73575,0.62397,1.12108,0.41142,0.37608,0.90654,0.93492,0.89237,0.95357,0.88132,0.006832,0.006832,0.006832
66,0.72469,0.62859,1.11843,0.41477,0.38854,0.90708,0.9195,0.89195,0.9533,0.87627,0.0067825,0.0067825,0.0067825
67,0.72844,0.61953,1.11882,0.4133,0.37806,0.90863,0.92719,0.89931,0.95218,0.87725,0.006733,0.006733,0.006733
68,0.72123,0.6069,1.11073,0.39346,0.35698,0.89413,0.9379,0.89048,0.95372,0.88256,0.0066835,0.0066835,0.0066835
69,0.72363,0.60855,1.12236,0.39479,0.35804,0.89902,0.94793,0.89195,0.95327,0.88225,0.006634,0.006634,0.006634
70,0.71912,0.60518,1.11492,0.39998,0.36279,0.89692,0.93704,0.89081,0.9579,0.88955,0.0065845,0.0065845,0.0065845
71,0.7192,0.61524,1.11201,0.39859,0.36163,0.89445,0.9218,0.9125,0.95792,0.88647,0.006535,0.006535,0.006535
72,0.71405,0.60131,1.11327,0.39235,0.35213,0.89575,0.93331,0.9133,0.95861,0.88975,0.0064855,0.0064855,0.0064855
73,0.71144,0.6051,1.11223,0.39546,0.3595,0.89953,0.9475,0.89325,0.95684,0.88699,0.006436,0.006436,0.006436
74,0.7142,0.60105,1.11638,0.3966,0.35536,0.90198,0.93118,0.90014,0.95845,0.88993,0.0063865,0.0063865,0.0063865
75,0.70655,0.59687,1.10891,0.38004,0.34574,0.88668,0.93453,0.90579,0.96108,0.89512,0.006337,0.006337,0.006337
76,0.70328,0.58984,1.10441,0.38517,0.34958,0.89399,0.94291,0.87861,0.95778,0.88847,0.0062875,0.0062875,0.0062875
77,0.7016,0.58309,1.10437,0.39399,0.351,0.90137,0.93803,0.88977,0.95622,0.88938,0.006238,0.006238,0.006238
78,0.70738,0.58752,1.11139,0.38719,0.34353,0.89361,0.93413,0.89626,0.95596,0.88847,0.0061885,0.0061885,0.0061885
79,0.69529,0.58352,1.10091,0.38546,0.3482,0.89363,0.95361,0.87481,0.95696,0.89175,0.006139,0.006139,0.006139
80,0.69233,0.5835,1.10134,0.39187,0.34076,0.89224,0.94831,0.89165,0.9576,0.89078,0.0060895,0.0060895,0.0060895
81,0.6984,0.58788,1.10241,0.37934,0.33453,0.88845,0.93717,0.902,0.95878,0.89235,0.00604,0.00604,0.00604
82,0.69172,0.57723,1.10083,0.38179,0.34202,0.89514,0.93387,0.90382,0.95773,0.89424,0.0059905,0.0059905,0.0059905
83,0.68475,0.57089,1.09505,0.37752,0.34183,0.88937,0.94234,0.89217,0.95728,0.89274,0.005941,0.005941,0.005941
84,0.69203,0.57455,1.10208,0.37986,0.34273,0.88891,0.95099,0.87426,0.95479,0.89066,0.0058915,0.0058915,0.0058915
85,0.68226,0.56895,1.0942,0.37284,0.33793,0.88585,0.94498,0.89179,0.95861,0.8951,0.005842,0.005842,0.005842
86,0.67544,0.56296,1.09314,0.37583,0.33312,0.88854,0.93556,0.90166,0.96064,0.89577,0.0057925,0.0057925,0.0057925
87,0.66522,0.57609,1.09127,0.38416,0.34281,0.8944,0.9303,0.88868,0.95753,0.88866,0.005743,0.005743,0.005743
88,0.64485,0.55982,1.07875,0.37904,0.33804,0.89156,0.92838,0.90042,0.9617,0.89554,0.0056935,0.0056935,0.0056935
89,0.63553,0.55162,1.07808,0.3724,0.33312,0.88979,0.93233,0.90032,0.96114,0.8994,0.005644,0.005644,0.005644
90,0.63519,0.54698,1.07709,0.37205,0.32842,0.88649,0.9532,0.89183,0.96134,0.89862,0.0055945,0.0055945,0.0055945
