epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
46,0.51062,0.33799,0.98892,0.47066,0.42181,0.98626,0.92488,0.88258,0.94484,0.84685,0.00109,0.00109,0.00109
47,0.50539,0.33393,0.98558,0.46841,0.41683,0.98512,0.93048,0.87017,0.94865,0.85312,0.000892,0.000892,0.000892
48,0.5049,0.32983,0.98722,0.4667,0.41924,0.98432,0.9457,0.86541,0.94388,0.84782,0.000694,0.000694,0.000694
49,0.49597,0.3221,0.98027,0.46808,0.41673,0.98461,0.90881,0.88895,0.94449,0.84969,0.000496,0.000496,0.000496
50,0.49505,0.31567,0.98207,0.46641,0.41029,0.98451,0.93954,0.8735,0.94793,0.85418,0.000298,0.000298,0.000298
47,0.82153,0.71896,1.3067,0.55631,0.46707,1.02536,0.91939,0.87727,0.94032,0.81669,0.007723,0.007723,0.007723
48,0.82098,0.73229,1.30839,0.56366,0.46886,1.03123,0.93003,0.86352,0.94434,0.81787,0.0076735,0.0076735,0.0076735
49,0.82533,0.7409,1.30862,0.55072,0.49319,1.03181,0.92159,0.86679,0.93717,0.81583,0.007624,0.007624,0.007624
50,0.82201,0.73433,1.30734,0.54423,0.48726,1.02032,0.93001,0.86644,0.93769,0.81663,0.0075745,0.0075745,0.0075745
51,0.81432,0.7236,1.30188,0.52514,0.46443,1.01877,0.92444,0.87874,0.94742,0.83392,0.007525,0.007525,0.007525
52,0.82237,0.73341,1.30595,0.54903,0.46192,1.02265,0.93184,0.86764,0.94608,0.82674,0.0074755,0.0074755,0.0074755
53,0.81604,0.7166,1.29935,0.51508,0.46547,1.00832,0.91506,0.87235,0.93543,0.82481,0.007426,0.007426,0.007426
54,0.80646,0.70679,1.29426,0.52728,0.45827,1.01116,0.94468,0.87223,0.94928,0.83515,0.0073765,0.0073765,0.0073765
55,0.8111,0.70879,1.29618,0.53913,0.44544,1.01598,0.93861,0.8803,0.9471,0.82661,0.007327,0.007327,0.007327
56,0.80835,0.71008,1.29452,0.53072,0.44641,1.01288,0.93722,0.86991,0.94772,0.83176,0.0072775,0.0072775,0.0072775
57,0.8045,0.70366,1.29164,0.51949,0.44913,1.00404,0.92485,0.86838,0.94633,0.83328,0.007228,0.007228,0.007228
58,0.79905,0.69628,1.28473,0.50261,0.44691,0.99722,0.94764,0.8535,0.94571,0.84122,0.0071785,0.0071785,0.0071785
59,0.80633,0.69684,1.28999,0.50014,0.44925,1.00073,0.94849,0.85327,0.94691,0.83963,0.007129,0.007129,0.007129
60,0.79915,0.69963,1.29046,0.50601,0.43464,1.00382,0.94349,0.86727,0.94753,0.84292,0.0070795,0.0070795,0.0070795
61,0.80184,0.68628,1.28881,0.51157,0.43837,0.9946,0.94779,0.86724,0.94578,0.83795,0.00703,0.00703,0.00703
62,0.79534,0.6837,1.283,0.52625,0.43981,1.00778,0.93342,0.87004,0.94623,0.83089,0.0069805,0.0069805,0.0069805
63,0.79349,0.69096,1.2811,0.49963,0.43469,0.99338,0.93859,0.87708,0.94798,0.83937,0.006931,0.006931,0.006931
64,0.79525,0.68965,1.28492,0.48065,0.42709,0.9802,0.94658,0.87271,0.94911,0.84796,0.0068815,0.0068815,0.0068815
65,0.79031,0.67426,1.28125,0.48855,0.42889,0.98359,0.94239,0.86815,0.94517,0.84468,0.006832,0.006832,0.006832
66,0.78968,0.67421,1.28019,0.52034,0.42772,0.99854,0.946,0.87659,0.94761,0.83765,0.0067825,0.0067825,0.0067825
67,0.80282,0.68578,1.28796,0.51443,0.42118,0.99355,0.93741,0.89796,0.95041,0.84094,0.006733,0.006733,0.006733
68,0.79697,0.69185,1.28271,0.49495,0.41749,0.98219,0.94065,0.88458,0.94848,0.84799,0.0066835,0.0066835,0.0066835
69,0.79891,0.68366,1.28228,0.50317,0.42346,0.99308,0.93744,0.8751,0.94406,0.83474,0.006634,0.006634,0.006634
70,0.79589,0.68205,1.28406,0.49953,0.41937,0.98528,0.92767,0.89259,0.9497,0.84433,0.0065845,0.0065845,0.0065845
71,0.79781,0.68152,1.27899,0.48361,0.41016,0.98108,0.91969,0.90136,0.94958,0.84922,0.006535,0.006535,0.006535
72,0.79081,0.66743,1.27216,0.48177,0.41471,0.98689,0.92605,0.88876,0.94711,0.84634,0.0064855,0.0064855,0.0064855
73,0.7788,0.65835,1.26624,0.48123,0.4141,0.98273,0.94342,0.87811,0.94897,0.84939,0.006436,0.006436,0.006436
74,0.78726,0.66345,1.27194,0.48336,0.40427,0.98092,0.94389,0.87614,0.94893,0.85155,0.0063865,0.0063865,0.0063865
75,0.77276,0.64965,1.26117,0.46176,0.40533,0.97184,0.94069,0.88206,0.95046,0.85729,0.006337,0.006337,0.006337
76,0.77676,0.65146,1.26072,0.48745,0.41306,0.97822,0.93287,0.89943,0.95152,0.85134,0.0062875,0.0062875,0.0062875
77,0.782,0.65929,1.26595,0.48409,0.401,0.9826,0.94111,0.8874,0.95088,0.85359,0.006238,0.006238,0.006238
78,0.77469,0.65108,1.25854,0.48001,0.40467,0.9831,0.95146,0.87867,0.95,0.85183,0.0061885,0.0061885,0.0061885
79,0.77143,0.64399,1.25813,0.46836,0.39599,0.97518,0.94099,0.89741,0.95292,0.8535,0.006139,0.006139,0.006139
80,0.77515,0.65132,1.25958,0.46104,0.40275,0.97102,0.94874,0.89171,0.95266,0.85776,0.0060895,0.0060895,0.0060895
81,0.76793,0.64671,1.25801,0.46799,0.39995,0.97907,0.9349,0.89626,0.94951,0.85344,0.00604,0.00604,0.00604
82,0.773,0.64057,1.25782,0.46796,0.38792,0.97578,0.93444,0.89422,0.95393,0.85848,0.0059905,0.0059905,0.0059905
83,0.76189,0.62917,1.24832,0.46995,0.39292,0.97019,0.95343,0.88404,0.9548,0.85971,0.005941,0.005941,0.005941
84,0.76782,0.63601,1.25372,0.47103,0.39115,0.96877,0.92743,0.89324,0.95386,0.86008,0.0058915,0.0058915,0.0058915
85,0.75996,0.62658,1.24647,0.45207,0.38371,0.96006,0.94635,0.87764,0.95406,0.86281,0.005842,0.005842,0.005842
86,0.75779,0.6166,1.24575,0.4483,0.39011,0.9631,0.93783,0.88991,0.95361,0.86413,0.0057925,0.0057925,0.0057925
87,0.75742,0.62939,1.24185,0.44352,0.38064,0.95694,0.94585,0.89313,0.95359,0.86761,0.005743,0.005743,0.005743
88,0.75789,0.62084,1.2449,0.45313,0.38019,0.96074,0.93674,0.90211,0.95238,0.86326,0.0056935,0.0056935,0.0056935
89,0.75282,0.62183,1.24128,0.4403,0.37553,0.96238,0.93989,0.90283,0.95539,0.86866,0.005644,0.005644,0.005644
90,0.75282,0.61511,1.24232,0.45713,0.38328,0.96667,0.94079,0.90189,0.95574,0.86481,0.0055945,0.0055945,0.0055945
91,0.74586,0.61391,1.23627,0.45691,0.38233,0.96542,0.92961,0.89668,0.95479,0.86835,0.005545,0.005545,0.005545
92,0.74674,0.61111,1.24379,0.44113,0.37424,0.95838,0.94538,0.89571,0.95266,0.87229,0.0054955,0.0054955,0.0054955
