epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26917.3,0.82539,0.73289,1.33019,0.93853,0.86786,0.94179,0.82529,0.53022,0.47708,1.03002,0.0079705,0.0079705,0.0079705
43,27529.6,0.8204,0.73465,1.32546,0.92701,0.89347,0.94999,0.83535,0.53802,0.47421,1.0402,0.007921,0.007921,0.007921
44,28142.4,0.82148,0.73504,1.32165,0.92548,0.89427,0.9491,0.82479,0.53904,0.47431,1.03134,0.0078715,0.0078715,0.0078715
45,28762.3,0.81089,0.72427,1.31221,0.94157,0.85863,0.94917,0.8305,0.54389,0.47118,1.037,0.007822,0.007822,0.007822
46,29378.2,0.81519,0.71959,1.31946,0.93817,0.87478,0.94727,0.83379,0.52168,0.46883,1.02784,0.0077725,0.0077725,0.0077725
47,29997.5,0.80727,0.70575,1.31341,0.93908,0.87186,0.94424,0.82547,0.51747,0.46092,1.02826,0.007723,0.007723,0.007723
48,30612.8,0.81131,0.71386,1.31717,0.92474,0.89405,0.95174,0.84042,0.51709,0.45676,1.02702,0.0076735,0.0076735,0.0076735
49,31228.7,0.81286,0.716,1.31459,0.92434,0.87074,0.94138,0.83513,0.51443,0.46827,1.01159,0.007624,0.007624,0.007624
50,31834.4,0.80695,0.70595,1.31031,0.93894,0.86441,0.94902,0.83879,0.51009,0.46428,1.01528,0.0075745,0.0075745,0.0075745
51,32435.2,0.80353,0.6961,1.30722,0.94067,0.88406,0.9506,0.83134,0.53416,0.45656,1.02291,0.007525,0.007525,0.007525
52,33025.5,0.80292,0.69787,1.30605,0.92408,0.8862,0.94907,0.83658,0.5176,0.45805,1.02024,0.0074755,0.0074755,0.0074755
53,33640.8,0.80306,0.69649,1.30213,0.92655,0.88813,0.94939,0.83543,0.51262,0.46361,1.01402,0.007426,0.007426,0.007426
54,34257,0.80233,0.69,1.30287,0.91639,0.88842,0.94905,0.84093,0.51756,0.44992,1.0113,0.0073765,0.0073765,0.0073765
55,34852.6,0.79697,0.68919,1.29645,0.9427,0.86988,0.94808,0.84229,0.4957,0.45115,1.0037,0.007327,0.007327,0.007327
56,35451.7,0.79164,0.68117,1.28922,0.94583,0.87358,0.95078,0.85074,0.49516,0.43716,0.99808,0.0072775,0.0072775,0.0072775
57,36078.6,0.79296,0.6796,1.29178,0.9176,0.89462,0.94996,0.84363,0.50418,0.44283,1.00452,0.007228,0.007228,0.007228
58,36692.9,0.78988,0.68336,1.29257,0.94478,0.88371,0.9526,0.8481,0.49216,0.42888,0.99747,0.0071785,0.0071785,0.0071785
59,37303.6,0.78624,0.67609,1.28948,0.93566,0.85483,0.94307,0.83951,0.49165,0.45697,1.00479,0.007129,0.007129,0.007129
60,37893.7,0.78621,0.67386,1.28796,0.95125,0.87449,0.95131,0.84448,0.5023,0.43354,1.00984,0.0070795,0.0070795,0.0070795
61,38505.1,0.7835,0.66096,1.2917,0.93464,0.88391,0.95211,0.8514,0.49613,0.44343,1.0043,0.00703,0.00703,0.00703
62,39120,0.77974,0.66698,1.28741,0.95982,0.87758,0.95219,0.85183,0.48838,0.42692,1.00268,0.0069805,0.0069805,0.0069805
63,39735.9,0.7783,0.66149,1.28444,0.94618,0.87864,0.94832,0.84617,0.50001,0.43941,1.00641,0.006931,0.006931,0.006931
64,40350.8,0.78647,0.66616,1.2881,0.94375,0.88751,0.95255,0.84856,0.48738,0.42974,0.99926,0.0068815,0.0068815,0.0068815
65,40967.4,0.77498,0.65234,1.27627,0.95029,0.87876,0.95011,0.85036,0.47796,0.42793,0.99276,0.006832,0.006832,0.006832
66,41597.8,0.77281,0.65015,1.27063,0.94089,0.88661,0.95209,0.85313,0.47891,0.43066,0.98507,0.0067825,0.0067825,0.0067825
67,42205.3,0.76525,0.64188,1.26506,0.93667,0.88144,0.95152,0.8515,0.48107,0.43287,0.98924,0.006733,0.006733,0.006733
68,42811.6,0.77273,0.64623,1.2742,0.9414,0.87499,0.95229,0.85215,0.48073,0.42507,0.98623,0.0066835,0.0066835,0.0066835
69,43426,0.76837,0.63966,1.26873,0.92017,0.89152,0.95095,0.8519,0.47954,0.42435,0.9868,0.006634,0.006634,0.006634
70,44036.6,0.76008,0.63789,1.26794,0.93718,0.8912,0.95395,0.85398,0.48279,0.42636,0.99275,0.0065845,0.0065845,0.0065845
71,44920.8,0.76784,0.64166,1.26928,0.93753,0.89953,0.95646,0.85769,0.47373,0.41111,0.98593,0.006535,0.006535,0.006535
